date,headline,url,categories,summary,vibe,in_top7,source,theme,countries
2026-05-07,"India's 283,772 H-1B Approvals in FY25 Ignite Fresh US Jobs Debate",https://www.business-standard.com/immigration/india-s-283-772-h-1b-visa-approvals-in-fy25-spark-fresh-us-jobs-debate-126050600401_1.html,India Specific|Destination Countries,"India's 283,772 H-1B approvals in FY25 ignite fresh US jobs debate.",neutral,TRUE,Business Standard,Visas and Work Permits,United States
2026-05-07,India Tops Global Remittances at $137.7B — Only Nation Crossing $100B Mark,https://ianslive.in/india-worlds-top-receiver-of-remittances-from-workers-overseas-getting-1377-billion--20260506061803,India Specific,"India tops global remittances at $137.7B, the only nation crossing $100B.",positive,TRUE,IANS,Remittances and Diaspora,India
2026-05-07,IOM World Migration Report 2026: Migration Development Gains at Risk as Legal Pathways Shrink,https://www.iom.int/news/iom-report-migration-drives-economies-and-development-gains-are-risk,Global & Multilateral,IOM's World Migration Report 2026 warns migration development gains are at risk as legal pathways shrink.,negative,TRUE,IOM,Other,Global
2026-05-07,India-UAE and India-US Among World's Top 10 Migration Corridors: UN,https://www.tribuneindia.com/news/india/india-uae-india-us-among-top-10-migration-corridors-in-2024-un,India Specific|Destination Countries,"India-UAE and India-US rank among the world's top 10 migration corridors, per the UN.",positive,TRUE,Tribune India,Remittances and Diaspora,UAE|United States
2026-05-07,"India Launches e-OCI Platform: Citizenship Rules Expand Diaspora Eligibility, Tighten Compliance",https://www.fragomen.com/insights/india-new-oci-rules-bring-broader-eligibility-but-stricter-compliance-measures.html,India Specific,"India launches the e-OCI platform, expanding diaspora eligibility while tightening compliance.",positive,TRUE,Fragomen,Remittances and Diaspora,India
2026-05-07,South Australia Issues 509 Skilled Migration Invitations in May 2026 Round,https://migration.sa.gov.au/news/invitations-issued-may-2026,Destination Countries,South Australia issues 509 skilled migration invitations in its May 2026 round.,positive,TRUE,Migration South Australia,Skills and Talent,Australia
2026-05-07,Romania Implements New Unified Digital Work Permit System for Non-EU Workers,https://www.fragomen.com/insights/romania-new-unified-work-permit-system-and-online-system-implemented.html,Destination Countries,Romania implements a new unified digital work permit system for non-EU workers.,positive,TRUE,Fragomen,Visas and Work Permits,Romania|European Union
2026-05-07,New Zealand Details Further Skilled Migrant Category Changes Effective August 2026,https://www.immigration.govt.nz/about-us/news-centre/further-changes-to-the-skilled-migrant-category-to-come-into-effect-in-august-2026/,Destination Countries,New Zealand details further Skilled Migrant Category changes effective August 2026.,positive,TRUE,Immigration New Zealand,Skills and Talent,New Zealand
2026-05-07,Australia Parliament Opens Public Hearings on Value of Skilled Migration,https://newshub.medianet.com.au/2026/05/upcoming-hearings-on-the-value-of-skilled-migration/150982/,Destination Countries,Australia's Parliament opens public hearings on the value of skilled migration.,neutral,TRUE,Medianet,Skills and Talent,Australia
2026-05-08,UN IMRF 2026 Closes; GCM Progress Declaration Adopted in New York,https://migrationnetwork.un.org/international-migration-review-forum-2026,Global & Multilateral,The UN IMRF 2026 closes with adoption of the GCM Progress Declaration in New York.,neutral,TRUE,UN Migration Network,Other,Global
2026-05-08,IOM World Migration Report 2026: Gains At Risk as Legal Pathways Narrow,https://www.iom.int/news/iom-report-migration-drives-economies-and-development-gains-are-risk,Global & Multilateral,IOM's World Migration Report 2026 warns development gains are at risk as legal pathways narrow.,negative,TRUE,IOM,Other,Global
2026-05-08,Romania Enacts Digital Work Permit Reform; New DAM1/DAM2 Visa System In Force,https://www.crownworldmobility.com/insights/immigration-weekly-update-may-7-2026/,Destination Countries,Romania enacts a digital work permit reform with a new DAM1/DAM2 visa system.,neutral,TRUE,Crown World Mobility,Visas and Work Permits,Romania|European Union
2026-05-08,US USCIS FY2026 H-2B Returning Worker Second Allocation Cap Reached,https://www.crownworldmobility.com/insights/immigration-weekly-update-may-7-2026/,Destination Countries,US USCIS FY2026 H-2B returning worker second allocation cap is reached.,negative,TRUE,Crown World Mobility,Visas and Work Permits,United States
